Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
Ignored,AUN_IGNORED,,Ignored,,,Custom,DEF,Unknown
AUN_REIMPORT_ROOT_NUMERIC,AUN_REIMPORT_ROOT_NUMERIC,,AUN_REIMPORT_ROOT_NUMERIC,,,Custom,GHI,Unknown
AUN_SOURCE_DESCRIPTION,AUN_SOURCE_DESCRIPTION,,AUN_SOURCE_DESCRIPTION,,,Custom,ABC,Unknown
AUN_SOURCE_MEDIA_ID,AUN_SOURCE_MEDIA_ID,,AUN_SOURCE_MEDIA_ID,,,Custom,DEF,Unknown
AUN_SOURCE_MEDIA_NAME,AUN_SOURCE_MEDIA_NAME,,AUN_SOURCE_MEDIA_NAME,,,Custom,ABC,Unknown
AUN_TIFFASSOCIATION_ORIGINAL,AUN_TIFFASSOCIATION_ORIGINAL,,AUN_TIFFASSOCIATION_ORIGINAL,,,Custom,DEF,Unknown
AUN_TIFFREDACT_COORDINATES_10,AUN_TIFFREDACT_COORDINATES_10,,AUN_TIFFREDACT_COORDINATES_10,,,Custom,GHI,Unknown
AUN_TIFFREDACT_COORDINATES_11,AUN_TIFFREDACT_COORDINATES_11,,AUN_TIFFREDACT_COORDINATES_11,,,Custom,ABC,Unknown
AUN_TIFFREDACT_COORDINATES_12,AUN_TIFFREDACT_COORDINATES_12,,AUN_TIFFREDACT_COORDINATES_12,,,Custom,DEF,Unknown
AUN_TIFFREDACT_COORDINATES_13,AUN_TIFFREDACT_COORDINATES_13,,AUN_TIFFREDACT_COORDINATES_13,,,System,GHI,Unknown
AUN_TIFFREDACT_COORDINATES_14,AUN_TIFFREDACT_COORDINATES_14,,AUN_TIFFREDACT_COORDINATES_14,,,Standard,ABC,Unknown
AUN_TIFFREDACT_CREATED_10,AUN_TIFFREDACT_CREATED_10,,AUN_TIFFREDACT_CREATED_10,,,Standard,DEF,Unknown
AUN_TIFFREDACT_CREATED_11,AUN_TIFFREDACT_CREATED_11,,AUN_TIFFREDACT_CREATED_11,,,Custom,GHI,Unknown
AUN_TIFFREDACT_CREATED_12,AUN_TIFFREDACT_CREATED_12,,AUN_TIFFREDACT_CREATED_12,,,Unknown,ABC,Unknown
AUN_TIFFREDACT_CREATED_13,AUN_TIFFREDACT_CREATED_13,,AUN_TIFFREDACT_CREATED_13,,,Appointment,DEF,Unknown
AUN_TIFFREDACT_CREATED_14,AUN_TIFFREDACT_CREATED_14,,AUN_TIFFREDACT_CREATED_14,,,Appointment,ABC,Unknown
AUN_TIFFREDACT_CREATOR_10,AUN_TIFFREDACT_CREATOR_10,,AUN_TIFFREDACT_CREATOR_10,,,,DEF,Unknown
AUN_TIFFREDACT_CREATOR_11,AUN_TIFFREDACT_CREATOR_11,,AUN_TIFFREDACT_CREATOR_11,,,,GHI,Unknown
AUN_TIFFREDACT_CREATOR_12,AUN_TIFFREDACT_CREATOR_12,,AUN_TIFFREDACT_CREATOR_12,,,,ABC,Unknown
AUN_TIFFREDACT_CREATOR_13,AUN_TIFFREDACT_CREATOR_13,,AUN_TIFFREDACT_CREATOR_13,,,,DEF,Unknown
AUN_TIFFREDACT_CREATOR_14,AUN_TIFFREDACT_CREATOR_14,,AUN_TIFFREDACT_CREATOR_14,,,Unknown,GHI,Unknown
AUN_TIFFREDACT_PAGE_10,AUN_TIFFREDACT_PAGE_10,,AUN_TIFFREDACT_PAGE_10,,,,ABC,Unknown
AUN_TIFFREDACT_PAGE_11,AUN_TIFFREDACT_PAGE_11,,AUN_TIFFREDACT_PAGE_11,,,,DEF,Unknown
AUN_TIFFREDACT_PAGE_12,AUN_TIFFREDACT_PAGE_12,,AUN_TIFFREDACT_PAGE_12,,,,GHI,Unknown
AUN_TIFFREDACT_PAGE_13,AUN_TIFFREDACT_PAGE_13,,AUN_TIFFREDACT_PAGE_13,,,,ABC,Unknown
AUN_TIFFREDACT_PAGE_14,AUN_TIFFREDACT_PAGE_14,,AUN_TIFFREDACT_PAGE_14,,,,DEF,Unknown
AUN_TIFFREDACT_REASON_10,AUN_TIFFREDACT_REASON_10,,AUN_TIFFREDACT_REASON_10,,,,ABC,Unknown
AUN_TIFFREDACT_REASON_11,AUN_TIFFREDACT_REASON_11,,AUN_TIFFREDACT_REASON_11,,,,DEF,Unknown
AUN_TIFFREDACT_REASON_12,AUN_TIFFREDACT_REASON_12,,AUN_TIFFREDACT_REASON_12,,,,GHI,Unknown
AUN_TIFFREDACT_REASON_13,AUN_TIFFREDACT_REASON_13,,AUN_TIFFREDACT_REASON_13,,,,ABC,Unknown
AUN_TIFFREDACT_REASON_14,AUN_TIFFREDACT_REASON_14,,AUN_TIFFREDACT_REASON_14,,,,DEF,Unknown
AUN_TIFFREDACT_REDACTIONSET_10,AUN_TIFFREDACT_REDACTIONSET_10,,AUN_TIFFREDACT_REDACTIONSET_10,,,Custom,GHI,Unknown
AUN_TIFFREDACT_REDACTIONSET_11,AUN_TIFFREDACT_REDACTIONSET_11,,AUN_TIFFREDACT_REDACTIONSET_11,,,Custom,ABC,Unknown
AUN_TIFFREDACT_REDACTIONSET_12,AUN_TIFFREDACT_REDACTIONSET_12,,AUN_TIFFREDACT_REDACTIONSET_12,,,MS Office & PDF,DEF,Unknown
AUN_TIFFREDACT_REDACTIONSET_13,AUN_TIFFREDACT_REDACTIONSET_13,,AUN_TIFFREDACT_REDACTIONSET_13,,,EDT,GHI,Unknown
AUN_TIFFREDACT_REDACTIONSET_14,AUN_TIFFREDACT_REDACTIONSET_14,,AUN_TIFFREDACT_REDACTIONSET_14,,,Custom,ABC,Unknown
AUN_VIRTUAL_SOURCE_DESCRIPTION,AUN_VIRTUAL_SOURCE_DESCRIPTION,,AUN_VIRTUAL_SOURCE_DESCRIPTION,,,Custom,DEF,Unknown
AUN_VIRTUAL_SOURCE_MEDIA_ID,AUN_VIRTUAL_SOURCE_MEDIA_ID,,AUN_VIRTUAL_SOURCE_MEDIA_ID,,,Other,ABC,Unknown
AUN_VIRTUAL_SOURCE_MEDIA_NAME,AUN_VIRTUAL_SOURCE_MEDIA_NAME,,AUN_VIRTUAL_SOURCE_MEDIA_NAME,,,Custom,DEF,Unknown
AXPAUTHOR,AXPAUTHOR,,AXPAUTHOR,,,Custom,GHI,Unknown
AXPDATACLASSIFICATION,AXPDATACLASSIFICATION,,AXPDATACLASSIFICATION,,,Custom,ABC,Unknown
AXPDATACLASSIFICATIONFORSEARCH,AXPDATACLASSIFICATIONFORSEARCH,,AXPDATACLASSIFICATIONFORSEARCH,,,Custom,DEF,Unknown
BGAGREED,BGAGREED,,BGAGREED,,,Custom,GHI,Unknown
BGAS,BGAS,,BGAS,,,Custom,ABC,Unknown
BGAS1,BGAS1,,BGAS1,,,Custom,DEF,Unknown
BGATTESTATTORNEY,BGATTESTATTORNEY,,BGATTESTATTORNEY,,,Custom,GHI,Unknown
BGATTESTDIRANDAUTHSIG,BGATTESTDIRANDAUTHSIG,,BGATTESTDIRANDAUTHSIG,,,Standard,ABC,Unknown
BGATTESTDIRANDDIRORAUTHSIG,BGATTESTDIRANDDIRORAUTHSIG,,BGATTESTDIRANDDIRORAUTHSIG,,,Custom,DEF,Unknown
BGATTESTGENERIC,BGATTESTGENERIC,,BGATTESTGENERIC,,,Custom,ABC,Unknown
BGATTESTINCLADDRESS,BGATTESTINCLADDRESS,,BGATTESTINCLADDRESS,,,Custom,DEF,Unknown
BGATTESTINDIVID,BGATTESTINDIVID,,BGATTESTINDIVID,,,Custom,GHI,Unknown
BGATTESTSEAL,BGATTESTSEAL,,BGATTESTSEAL,,,Custom,ABC,Unknown
BGATTESTSOLEDIRECTOR,BGATTESTSOLEDIRECTOR,,BGATTESTSOLEDIRECTOR,,,Custom,DEF,Unknown
BGATTESTTWOATTORNEYS,BGATTESTTWOATTORNEYS,,BGATTESTTWOATTORNEYS,,,,GHI,Unknown
BGATTESTTWODIRECTORS,BGATTESTTWODIRECTORS,,BGATTESTTWODIRECTORS,,,,ABC,Unknown
BGAUTHORDDI,BGAUTHORDDI,,BGAUTHORDDI,,,,DEF,Unknown
BGAUTHOREMAIL,BGAUTHOREMAIL,,BGAUTHOREMAIL,,,,GHI,Unknown
BGAUTHORINITIALS,BGAUTHORINITIALS,,BGAUTHORINITIALS,,,,ABC,Unknown
BGAUTHORJOBTITLE,BGAUTHORJOBTITLE,,BGAUTHORJOBTITLE,,,,DEF,Unknown
BGAUTHOROFFICE,BGAUTHOROFFICE,,BGAUTHOROFFICE,,,,ABC,Unknown
BGAUTHOROTHERNAME,BGAUTHOROTHERNAME,,BGAUTHOROTHERNAME,,,,DEF,Unknown
BGAUTHORPREFERREDNAME,BGAUTHORPREFERREDNAME,,BGAUTHORPREFERREDNAME,,,,GHI,Unknown
BGAUTHORTREATASPARTNER,BGAUTHORTREATASPARTNER,,BGAUTHORTREATASPARTNER,,,,ABC,Unknown
BGBETWEENAND,BGBETWEENAND,,BGBETWEENAND,,,,DEF,Unknown
BGBYINFAVOUROF,BGBYINFAVOUROF,,BGBYINFAVOUROF,,,,GHI,Unknown
BGCLIENT,BGCLIENT,,BGCLIENT,,,,ABC,Unknown
BGCLIENTNUMBER,BGCLIENTNUMBER,,BGCLIENTNUMBER,,,,DEF,Unknown
BGCOPY,BGCOPY,,BGCOPY,,,,GHI,Unknown
BGDATE,BGDATE,,BGDATE,,,,ABC,Unknown
BGDECLARED,BGDECLARED,,BGDECLARED,,,,DEF,Unknown
BGDOCUMENTNAME,BGDOCUMENTNAME,,BGDOCUMENTNAME,,,,ABC,Unknown
BGDRAFT,BGDRAFT,,BGDRAFT,,,,DEF,Unknown
BGDRAFTNUMBER,BGDRAFTNUMBER,,BGDRAFTNUMBER,,,,GHI,Unknown
BGEMPLOYMENTAGREEMENT,BGEMPLOYMENTAGREEMENT,,BGEMPLOYMENTAGREEMENT,,,,ABC,Unknown
BGEMPLOYMENTDEED,BGEMPLOYMENTDEED,,BGEMPLOYMENTDEED,,,,DEF,Unknown
BGEMPLOYMENTSIGNOFF,BGEMPLOYMENTSIGNOFF,,BGEMPLOYMENTSIGNOFF,,,,GHI,Unknown
BGFIRSTPAGE,BGFIRSTPAGE,,BGFIRSTPAGE,,,,ABC,Unknown
BGISSUEDATE,BGISSUEDATE,,BGISSUEDATE,,,,DEF,Unknown
BGLOGO,BGLOGO,,BGLOGO,,,,GHI,Unknown
BGLTO,BGLTO,,BGLTO,,,,ABC,Unknown
BGMAJORVERSION,BGMAJORVERSION,,BGMAJORVERSION,,,,DEF,Unknown
BGMATTERDESCRIPTION,BGMATTERDESCRIPTION,,BGMATTERDESCRIPTION,,,,ABC,Unknown
BGMATTERNUMBER,BGMATTERNUMBER,,BGMATTERNUMBER,,,,DEF,Unknown
BGNAME,BGNAME,,BGNAME,,,,GHI,Unknown
BGNAME1,BGNAME1,,BGNAME1,,,,ABC,Unknown
BGOK,BGOK,,BGOK,,,,DEF,Unknown
BGOPERATORINITIALS,BGOPERATORINITIALS,,BGOPERATORINITIALS,,,,GHI,Unknown
BGOTHERPAGES,BGOTHERPAGES,,BGOTHERPAGES,,,,ABC,Unknown
BGPARTNERDDI,BGPARTNERDDI,,BGPARTNERDDI,,,,DEF,Unknown
BGPARTNEREMAIL,BGPARTNEREMAIL,,BGPARTNEREMAIL,,,,GHI,Unknown
BGPARTNERINITIALS,BGPARTNERINITIALS,,BGPARTNERINITIALS,,,,ABC,Unknown
BGPARTNERJOBTITLE,BGPARTNERJOBTITLE,,BGPARTNERJOBTITLE,,,,DEF,Unknown
BGPARTNERMOBILE,BGPARTNERMOBILE,,BGPARTNERMOBILE,,,,ABC,Unknown
BGPARTNEROFFICE,BGPARTNEROFFICE,,BGPARTNEROFFICE,,,,DEF,Unknown
BGPARTNEROTHERNAME,BGPARTNEROTHERNAME,,BGPARTNEROTHERNAME,,,,GHI,Unknown
BGPARTNERPREFERREDNAME,BGPARTNERPREFERREDNAME,,BGPARTNERPREFERREDNAME,,,,ABC,Unknown
BGPARTNERTREATASPARTNER,BGPARTNERTREATASPARTNER,,BGPARTNERTREATASPARTNER,,,,DEF,Unknown
BGRELATINGTO,BGRELATINGTO,,BGRELATINGTO,,,,GHI,Unknown
BGSETTLEMENTAGREEMENT,BGSETTLEMENTAGREEMENT,,BGSETTLEMENTAGREEMENT,,,,ABC,Unknown
BGSETTLEMENTSIGNOFF,BGSETTLEMENTSIGNOFF,,BGSETTLEMENTSIGNOFF,,,,DEF,Unknown
BGSPACERAFTER,BGSPACERAFTER,,BGSPACERAFTER,,,,GHI,Unknown
BGSPACERBEFORE,BGSPACERBEFORE,,BGSPACERBEFORE,,,,ABC,Unknown
BGTITLE,BGTITLE,,BGTITLE,,,,DEF,Unknown
BGTOC,BGTOC,,BGTOC,,,,ABC,Unknown
BGTOPIC,BGTOPIC,,BGTOPIC,,,,DEF,Unknown
BGTRACKCHANGES,BGTRACKCHANGES,,BGTRACKCHANGES,,,,GHI,Unknown
BGVERSIONNUMBER,BGVERSIONNUMBER,,BGVERSIONNUMBER,,,,ABC,Unknown
BIT_DEPTH,BIT_DEPTH,,BIT_DEPTH,,,,DEF,Unknown
BITS_PER_CHANNEL,BITS_PER_CHANNEL,,BITS_PER_CHANNEL,,,,GHI,Unknown
BITS_PER_PIXEL,BITS_PER_PIXEL,,BITS_PER_PIXEL,,,,ABC,Unknown
BRIGHTNESS_VALUE,BRIGHTNESS_VALUE,,BRIGHTNESS_VALUE,,,,DEF,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION,BUSINESS_OBJECTS_CONTEXT_INFORMATION,,BUSINESS_OBJECTS_CONTEXT_INFORMATION,,,,GHI,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION1,BUSINESS_OBJECTS_CONTEXT_INFORMATION1,,BUSINESS_OBJECTS_CONTEXT_INFORMATION1,,,,ABC,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION2,BUSINESS_OBJECTS_CONTEXT_INFORMATION2,,BUSINESS_OBJECTS_CONTEXT_INFORMATION2,,,,DEF,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION3,BUSINESS_OBJECTS_CONTEXT_INFORMATION3,,BUSINESS_OBJECTS_CONTEXT_INFORMATION3,,,,ABC,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION4,BUSINESS_OBJECTS_CONTEXT_INFORMATION4,,BUSINESS_OBJECTS_CONTEXT_INFORMATION4,,,,DEF,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION5,BUSINESS_OBJECTS_CONTEXT_INFORMATION5,,BUSINESS_OBJECTS_CONTEXT_INFORMATION5,,,,GHI,Unknown
BUSINESS_OBJECTS_CONTEXT_INFORMATION6,BUSINESS_OBJECTS_CONTEXT_INFORMATION6,,BUSINESS_OBJECTS_CONTEXT_INFORMATION6,,,,ABC,Unknown
Size,BYTECOUNT,,Size,,,,DEF,Unknown
CATEGORY,CATEGORY,,CATEGORY,,,,GHI,Unknown
CHANNELS,CHANNELS,,CHANNELS,,,,ABC,Unknown
CHARACTERSWITHSPACES,CHARACTERSWITHSPACES,,CHARACTERSWITHSPACES,,,,DEF,Unknown
Character Count,CHARCOUNT,,Character Count,,,,GHI,Unknown
CHILDHASHES,CHILDHASHES,,CHILDHASHES,,,,ABC,Unknown
CLIENTNO,CLIENTNO,,CLIENTNO,,,,DEF,Unknown
Code Page,CODEPAGE,,Code Page,,,,ABC,Unknown
COLOR_REPRESENTATION,COLOR_REPRESENTATION,,COLOR_REPRESENTATION,,,,DEF,Unknown
COMMENT0,COMMENT0,,COMMENT0,,,,GHI,Unknown
COMMENTS,COMMENTS,,COMMENTS,,,,ABC,Unknown
Company,COMPANY,,Company,,,,DEF,Unknown
COMPONENTS_CONFIGURATION,COMPONENTS_CONFIGURATION,,COMPONENTS_CONFIGURATION,,,,GHI,Unknown
COMPRESSED_BITS_PIXEL,COMPRESSED_BITS_PIXEL,,COMPRESSED_BITS_PIXEL,,,,ABC,Unknown
COMPRESSION,COMPRESSION,,COMPRESSION,,,,DEF,Unknown
CONTENTSTATUS,CONTENTSTATUS,,CONTENTSTATUS,,,,GHI,Unknown
CONTENTTYPEID,CONTENTTYPEID,,CONTENTTYPEID,,,,ABC,Unknown
CREATE_DTM,CREATE_DTM,,CREATE_DTM,,,,DEF,Unknown
CREATED,CREATED,,CREATED,,,,ABC,Unknown
CREATEDBY,CREATEDBY,,CREATEDBY,,,,DEF,Unknown
CREATEDON,CREATEDON,,CREATEDON,,,,GHI,Unknown
CREATION_DATE,CREATION_DATE,,CREATION_DATE,,,,ABC,Unknown
CREATION_SOFTWARE,CREATION_SOFTWARE,,CREATION_SOFTWARE,,,,DEF,Unknown
CREATOR,CREATOR,,CREATOR,,,,GHI,Unknown
CX_ORIGINALVERSION,CX_ORIGINALVERSION,,CX_ORIGINALVERSION,,,,ABC,Unknown
CX_RELOCATIONOPERATION,CX_RELOCATIONOPERATION,,CX_RELOCATIONOPERATION,,,,DEF,Unknown
CX_RELOCATIONREASON,CX_RELOCATIONREASON,,CX_RELOCATIONREASON,,,,GHI,Unknown
CX_RELOCATIONTIMESTAMP,CX_RELOCATIONTIMESTAMP,,CX_RELOCATIONTIMESTAMP,,,,ABC,Unknown
CX_RELOCATIONUSER,CX_RELOCATIONUSER,,CX_RELOCATIONUSER,,,,DEF,Unknown
DATA_RATE,DATA_RATE,,DATA_RATE,,,,ABC,Unknown
DATE,DATE,,DATE,,,,DEF,Unknown
DATE_TIME_DIGITISED,DATE_TIME_DIGITISED,,DATE_TIME_DIGITISED,,,,GHI,Unknown
DATE_TIME_ORIGINAL,DATE_TIME_ORIGINAL,,DATE_TIME_ORIGINAL,,,,ABC,Unknown
DEBUG1,DEBUG1,,DEBUG1,,,,DEF,Unknown
DEBUG2,DEBUG2,,DEBUG2,,,,GHI,Unknown
DEBUG3,DEBUG3,,DEBUG3,,,,ABC,Unknown
Dedupe MD5,DEDUPEMD5,,Dedupe MD5,,,,DEF,Unknown
DEEDOTHERPARTY,DEEDOTHERPARTY,,DEEDOTHERPARTY,,,,GHI,Unknown
DEEDOTHERPARTY1,DEEDOTHERPARTY1,,DEEDOTHERPARTY1,,,,ABC,Unknown
DESCENDED_FROM_LOOSE_MAIL,DESCENDED_FROM_LOOSE_MAIL,,DESCENDED_FROM_LOOSE_MAIL,,,,DEF,Unknown
Description,DESCRIPTION,,Description,,,,ABC,Unknown
DMSDOCNUM,DMSDOCNUM,,DMSDOCNUM,,,,DEF,Unknown
DOCID,DOCID,,DOCID,,,,GHI,Unknown
DOCIDCONTENT,DOCIDCONTENT,,DOCIDCONTENT,,,,ABC,Unknown
DOCLOC,DOCLOC,,DOCLOC,,,,DEF,Unknown
DOCLOC2,DOCLOC2,,DOCLOC2,,,,GHI,Unknown
DOCREFERENCE,DOCREFERENCE,,DOCREFERENCE,,,,ABC,Unknown
DOCSECURITY,DOCSECURITY,,DOCSECURITY,,,,DEF,Unknown
DOCUMENT_NUMBER,DOCUMENT_NUMBER,,DOCUMENT_NUMBER,,,,GHI,Unknown
DOCUMENTATTRIBUTES,DOCUMENTATTRIBUTES,,DOCUMENTATTRIBUTES,,,,ABC,Unknown
Document Class,DOCUMENTCLASS,,Document Class,,,,DEF,Unknown
DOCUMENTEMBEDDEDFONTRATIO,DOCUMENTEMBEDDEDFONTRATIO,,DOCUMENTEMBEDDEDFONTRATIO,,,,ABC,Unknown
DOCUMENTPCTEMBEDDEDFONT,DOCUMENTPCTEMBEDDEDFONT,,DOCUMENTPCTEMBEDDEDFONT,,,,DEF,Unknown
DOCUMENTPCTPROBABILITYMISMATCH,DOCUMENTPCTPROBABILITYMISMATCH,,DOCUMENTPCTPROBABILITYMISMATCH,,,,GHI,Unknown
Document Size,DOCUMENTSIZE,,Document Size,,,,ABC,Unknown
Time Edited,EDITTIME,,Time Edited,,,,DEF,Unknown
EDRMSDOCALLOWED,EDRMSDOCALLOWED,,EDRMSDOCALLOWED,,,,GHI,Unknown
EDRMSFSCCLASSIFICATION,EDRMSFSCCLASSIFICATION,,EDRMSFSCCLASSIFICATION,,,,ABC,Unknown
EMAIL_OWNER_ADDRESS,EMAIL_OWNER_ADDRESS,,EMAIL_OWNER_ADDRESS,,,,DEF,Unknown
Email Timezone,EMAIL_TIMEZONE,,Email Timezone,,,,GHI,Unknown
EmailThreadId,EMAILTHREADID_MATCH,,EmailThreadId,,,,ABC,Unknown
Embedded,EMBEDDED,,Embedded,,,,DEF,Unknown
EXIF_IMAGE_HEIGHT,EXIF_IMAGE_HEIGHT,,EXIF_IMAGE_HEIGHT,,,,ABC,Unknown
EXIF_IMAGE_WIDTH,EXIF_IMAGE_WIDTH,,EXIF_IMAGE_WIDTH,,,,DEF,Unknown
EXIF_INTEROPERABILITY_OFFSET,EXIF_INTEROPERABILITY_OFFSET,,EXIF_INTEROPERABILITY_OFFSET,,,,GHI,Unknown
EXIF_OFFSET,EXIF_OFFSET,,EXIF_OFFSET,,,,ABC,Unknown
EXIF_VERSION,EXIF_VERSION,,EXIF_VERSION,,,,DEF,Unknown
EXPIRES,EXPIRES,,EXPIRES,,,,GHI,Unknown
EXPOSURE_BIAS_VALUE,EXPOSURE_BIAS_VALUE,,EXPOSURE_BIAS_VALUE,,,,ABC,Unknown
EXPOSURE_PROGRAM,EXPOSURE_PROGRAM,,EXPOSURE_PROGRAM,,,,DEF,Unknown
F_NUMBER,F_NUMBER,,F_NUMBER,,,,GHI,Unknown
FAMILYDATE,FAMILYDATE,,FAMILYDATE,,,,ABC,Unknown
FAMILYTHREADID_MATCH,FAMILYTHREADID_MATCH,,FAMILYTHREADID_MATCH,,,,DEF,Unknown
FILE_SOURCE,FILE_SOURCE,,FILE_SOURCE,,,,ABC,Unknown
Time File Accessed,FILEACCESSEDTIME,,Time File Accessed,,,,DEF,Unknown
Time File Created,FILECREATEDTIME,,Time File Created,,,,GHI,Unknown
FileExtensionAsFound,FileExtensionAsFound,,FileExtensionAsFound,,,,ABC,Unknown
FILEIMPORTED_NUMERICDATE,FILEIMPORTED_NUMERICDATE,,FILEIMPORTED_NUMERICDATE,,,,DEF,Unknown
Time File Imported,FILEIMPORTEDTIME,,Time File Imported,,,,GHI,Unknown
Date File Modified,FILEMODIFIEDTIME,,Date File Modified,,,,ABC,Unknown
FLASH,FLASH,,FLASH,,,,DEF,Unknown
FLASH_PIX_VERSION,FLASH_PIX_VERSION,,FLASH_PIX_VERSION,,,,GHI,Unknown
FOCAL_LENGTH,FOCAL_LENGTH,,FOCAL_LENGTH,,,,ABC,Unknown
FOCAL_PLANE_RESOLUTION_UNIT,FOCAL_PLANE_RESOLUTION_UNIT,,FOCAL_PLANE_RESOLUTION_UNIT,,,,DEF,Unknown
FOCAL_PLANE_X_RESOLUTION,FOCAL_PLANE_X_RESOLUTION,,FOCAL_PLANE_X_RESOLUTION,,,,ABC,Unknown
FOCAL_PLANE_Y_RESOLUTION,FOCAL_PLANE_Y_RESOLUTION,,FOCAL_PLANE_Y_RESOLUTION,,,,DEF,Unknown
FORMAT_TYPE,FORMAT_TYPE,,FORMAT_TYPE,,,,GHI,Unknown
FORMAT-DETECTION,FORMAT-DETECTION,,FORMAT-DETECTION,,,,ABC,Unknown
FRAME_COUNT,FRAME_COUNT,,FRAME_COUNT,,,,DEF,Unknown
Generator,GENERATOR,,Generator,,,,GHI,Unknown
GPS_ALTITUDE,GPS_ALTITUDE,,GPS_ALTITUDE,,,,ABC,Unknown
GPS_ALTITUDE_REF,GPS_ALTITUDE_REF,,GPS_ALTITUDE_REF,,,,DEF,Unknown
GPS_DATE_STAMP,GPS_DATE_STAMP,,GPS_DATE_STAMP,,,,GHI,Unknown
GPS_DOP,GPS_DOP,,GPS_DOP,,,,ABC,Unknown
GPS_IMG_DIRECTION,GPS_IMG_DIRECTION,,GPS_IMG_DIRECTION,,,,DEF,Unknown
GPS_IMG_DIRECTION_REF,GPS_IMG_DIRECTION_REF,,GPS_IMG_DIRECTION_REF,,,,ABC,Unknown
GPS_LATITUDE,GPS_LATITUDE,,GPS_LATITUDE,,,,DEF,Unknown
GPS_LATITUDE_REF,GPS_LATITUDE_REF,,GPS_LATITUDE_REF,,,,GHI,Unknown
GPS_LONGITUDE,GPS_LONGITUDE,,GPS_LONGITUDE,,,,ABC,Unknown
GPS_LONGITUDE_REF,GPS_LONGITUDE_REF,,GPS_LONGITUDE_REF,,,,DEF,Unknown
GPS_MEASURE_MODE,GPS_MEASURE_MODE,,GPS_MEASURE_MODE,,,,GHI,Unknown
GPS_PROCESSING_METHOD,GPS_PROCESSING_METHOD,,GPS_PROCESSING_METHOD,,,,ABC,Unknown
GPS_SPEED,GPS_SPEED,,GPS_SPEED,,,,DEF,Unknown
GPS_SPEED_REF,GPS_SPEED_REF,,GPS_SPEED_REF,,,,GHI,Unknown
GPS_TIMESTAMP,GPS_TIMESTAMP,,GPS_TIMESTAMP,,,,ABC,Unknown
GPS_VERSION_ID,GPS_VERSION_ID,,GPS_VERSION_ID,,,,DEF,Unknown
Has Attachment,HASATTACHMENT,,Has Attachment,,,,ABC,Unknown
HEADINGPAIRS,HEADINGPAIRS,,HEADINGPAIRS,,,,DEF,Unknown
HEIGHT,HEIGHT,,HEIGHT,,,,GHI,Unknown
HEIGHT__PIXELS_,HEIGHT__PIXELS_,,HEIGHT__PIXELS_,,,,ABC,Unknown
HIDDENCOUNT,HIDDENCOUNT,,HIDDENCOUNT,,,,DEF,Unknown
HLINKS,HLINKS,,HLINKS,,,,GHI,Unknown
HORIZONTAL_RESOLUTION,HORIZONTAL_RESOLUTION,,HORIZONTAL_RESOLUTION,,,,ABC,Unknown
HYPERLINKBASE,HYPERLINKBASE,,HYPERLINKBASE,,,,DEF,Unknown
HYPERLINKS,HYPERLINKS,,HYPERLINKS,,,,GHI,Unknown
HYPERLINKSCHANGED,HYPERLINKSCHANGED,,HYPERLINKSCHANGED,,,,ABC,Unknown
IMAGE_SIZE,IMAGE_SIZE,,IMAGE_SIZE,,,,DEF,Unknown
IMCLASS,IMCLASS,,IMCLASS,,,,ABC,Unknown
IMDOCUMENTNUMBER,IMDOCUMENTNUMBER,,IMDOCUMENTNUMBER,,,,DEF,Unknown
Import Empty,IMPORTEMPTY,,Import Empty,,,,GHI,Unknown
Import Error Code,IMPORTERRORCODE,,Import Error Code,,,,ABC,Unknown
IMPORTINVALIDUTF8BYTES,IMPORTINVALIDUTF8BYTES,,IMPORTINVALIDUTF8BYTES,,,,DEF,Unknown
IMPORTORIGINALENCODING,IMPORTORIGINALENCODING,,IMPORTORIGINALENCODING,,,,GHI,Unknown
IMPORTVERSION,IMPORTVERSION,,IMPORTVERSION,,,,ABC,Unknown
IMTYPE,IMTYPE,,IMTYPE,,,,DEF,Unknown
IMVERSIONNUMBER,IMVERSIONNUMBER,,IMVERSIONNUMBER,,,,GHI,Unknown
Information Flag,INFOFLAG,,Information Flag,,,,ABC,Unknown
INTERNETMESSAGEID,INTERNETMESSAGEID,,INTERNETMESSAGEID,,,,DEF,Unknown
INTEROPERABILITY_INDEX,INTEROPERABILITY_INDEX,,INTEROPERABILITY_INDEX,,,,ABC,Unknown
INTEROPERABILITY_VERSION,INTEROPERABILITY_VERSION,,INTEROPERABILITY_VERSION,,,,DEF,Unknown
INTROSPECT_HISTORY_EVENT,INTROSPECT_HISTORY_EVENT,,INTROSPECT_HISTORY_EVENT,,,,GHI,Unknown
INTROSPECT_RELEASED,INTROSPECT_RELEASED,,INTROSPECT_RELEASED,,,,ABC,Unknown
INTROSPECT_RELEASED_DATE,INTROSPECT_RELEASED_DATE,,INTROSPECT_RELEASED_DATE,,,,DEF,Unknown
IS_ARCHIVE,IS_ARCHIVE,,IS_ARCHIVE,,,,GHI,Unknown
