Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
Disc Redaction Approved,TAG_REG_REDACTION_APROVED_NUMERIC,Disc Redaction Approved?,Disc Redaction Approved,,Boolean,Standard,GHI,Unknown
Disclosure Determination,TAG_REG_DIS_DETERMINATION_MATCH_PARAMETRIC,Disclosure Determination,Disclosure Determination,,List (presented as radio button),Custom,ABC,Unknown
Disclosure Reason,TAG_REG_DIS_REASON_MATCH_PARAMETRIC,Disclosure Reason,Disclosure Reason,,Dropdown List,Custom,DEF,Unknown
Document Description,TAG_INV_REVISEDDOCDESCRIPTION_MATCH,Doc Description,Document Description,,Memo,Custom,GHI,Unknown
Custodian,SL_DOCUMENT_CUSTODIAN_PARAMETRIC,Document Custodian,Custodian,,Text,Custom,ABC,Unknown
Document Source,TAG_DOCUMENT_SOURCE_MATCH,Document Source,Document Source,,Text,Custom,DEF,Unknown
Document Source Type,SL_DOCUMENT_TYPE_MATCH,Document Type,Document Source Type,,Text,Custom,GHI,Unknown
Document Type Code,DOCUMENTTYPE,Document Type Code,Document Type Code,,undefined,Custom,ABC,Unknown
Domain (Recipient),RECIPIENT_DOMAIN,Domain (Recipient),Domain (Recipient),,Dropdown List,Email,DEF,Unknown
Domain (Sender),FROMDOMAIN,Domain (Sender),Domain (Sender),,Dropdown List,Email,ABC,Unknown
EMS Duplicate Document,TAG_DUPLICATE_NUMERIC,Duplicate,EMS Duplicate Document,,Boolean,Custom,DEF,Unknown
EMS Duplicate Of,TAG_DUPLICATEOF_MATCH,Duplicate Of,EMS Duplicate Of,,Text,Custom,GHI,Unknown
EDD Protected _ Deleted From Review,TAG_PROTECTED_ITEM_EDD_DELETE_NUMERIC,EDD - Protected - Deleted From Review,EDD Protected _ Deleted From Review,,Boolean,Custom,ABC,Unknown
EDD Protected Deleted from Review Requested by,TAG_PROTECTED_ITEM_EDD_REQUESTEDBY_MATCH,EDD - Protected - Deleted From Review Requested By,EDD Protected Deleted from Review Requested by,,MultiValueList,Custom,DEF,Unknown
Email Addresses (All),AUN_ADDRESS_MATCH_PARAMETRIC,Email Addresses (All),Email Addresses (All),,Dropdown List,Custom,GHI,Unknown
,EMAIL_DIRECTION_PARAMETRIC,Email Direction,,,Dropdown List,Custom,ABC,Unknown
Date Received,RECEIVED_NUMERICDATE,Email Received Date,Date Received,,undefined,Custom,DEF,Unknown
Date Sent,SENT_NUMERICDATE,Email Sent Date,Date Sent,,undefined,Custom,GHI,Unknown
Subject,SUBJECT,Email Subject,Subject,,Text,Custom,ABC,Unknown
BatesSearch,INTROSPECT_BATES,EMS Bates,BatesSearch,,undefined,Custom,DEF,Unknown
Evidence Status,TAG_EVIDENCE_STATUS_MATCH,Evidence Status,Evidence Status,,List (presented as radio button),Custom,ABC,Unknown
Family Count,#DREFAMILYCOUNT_NUMERIC,Family Count,Family Count,,Text,Custom,DEF,Unknown
FamilyDate,FAMILY_DATE_NUMERICDATE,Family Date,FamilyDate,,undefined,Standard,GHI,Unknown
EMS Family Sort,FAMILYSORT,Family Group,EMS Family Sort,,Text,Unknown,ABC,Unknown
EMS Family MD5,FAMILYMD5,Family MD5,EMS Family MD5,,undefined,EDT,DEF,Unknown
EMS Family Root,FAMILYROOT,Family Root,EMS Family Root,,undefined,Custom,GHI,Unknown
EMS Family Sender,FAMILYSENDER,Family Sender,EMS Family Sender,,Text,Standard,ABC,Unknown
EMS Family Subject,FAMILYSUBJECT,Family Subject,EMS Family Subject,,Text,Unknown,DEF,Unknown
File Extension,FILETYPE_PARAMETRIC,File Extension,File Extension,,Dropdown List,Unknown,GHI,Unknown
ImportMagicExtension,IMPORTMAGICEXTENSION,File Extension List,ImportMagicExtension,,undefined,Custom,ABC,Unknown
Original File Name,#DREORIGINALNAME,File Name,Original File Name,,Text,MS Office & PDF,DEF,Unknown
File Path,VIRTUALPATH_RELATIVE,File Path,File Path,,Text,Unknown,ABC,Unknown
SizeWithoutChildren,FILESIZE_NUMERIC,File size (bytes),SizeWithoutChildren,,Text,Custom,DEF,Unknown
File Tab Number,TAG_FILE_TAB_MATCH,File Tab Number,File Tab Number,,Text,Email,GHI,Unknown
Content Type,CONTENT-TYPE,File Type,Content Type,,Dropdown List,Custom,ABC,Unknown
IDOL Folder List,AUN_WORKBOOK_NUMERIC,Folder ID,IDOL Folder List,,No equivalent,Custom,DEF,Unknown
Author,FROM,From,Author,,Text,Custom,GHI,Unknown
Further Review Required,TAG_FURTHER_REVIEW_REQUIRED_NUMERIC,Further Review Required,Further Review Required,,Boolean,Custom,ABC,Unknown
EMS DocLibrary Group,AUN_VIRTUAL_GROUP,Group Name (All),EMS DocLibrary Group,,Dropdown List,Appointment,DEF,Unknown
EMS Group,AUN_GROUP,Group Name (Initial),EMS Group,,Dropdown List,Other,GHI,Unknown
EMS_Has Hidden Columns - Excel,HAS_HIDDEN_COLUMNS,Has Hidden Columns - Excel,EMS_Has Hidden Columns - Excel,,undefined,Custom,ABC,Unknown
EMS_Has Hidden Rows - Excel,HAS_HIDDEN_ROWS,Has Hidden Rows - Excel,EMS_Has Hidden Rows - Excel,,undefined,Standard,DEF,Unknown
EMS_Has Hidden Text - Excel,HAS_HIDDEN_TEXT,Has Hidden Text - Excel,EMS_Has Hidden Text - Excel,,undefined,EDT,ABC,Unknown
EMS_ Has Highlight,AUN_HIGHLIGHT_REDACTIONSET*,Has Highlight,EMS_ Has Highlight,,undefined,Unknown,DEF,Unknown
EMS_Has Redaction,AUN_TIFFREDACT_REDACTIONSET*,Has Redaction,EMS_Has Redaction,,undefined,Custom,GHI,Unknown
Has Searchable Text,HAS_TEXT,Has Searchable Text,Has Searchable Text,,Dropdown List,Custom,ABC,Unknown
Has TIFF Path,AUN_TIFFASSOCIATION,Has TIFF Path,Has TIFF Path,,Text,Custom,DEF,Unknown
EMS Has Track Changes,HAS_REVISIONS,Has Track Changes,EMS Has Track Changes,,undefined,Custom,GHI,Unknown
EMS Import Error Description,IMPORTERRORDESCRIPTION,Import Error Description,EMS Import Error Description,,Dropdown List,Unknown,ABC,Unknown
Int Date Created,CREATE_DTM_NUMERICDATE,Int Date Created,Int Date Created,,undefined,Custom,DEF,Unknown
Int Last Printed,LAST_PRINTED_NUMERICDATE,Int Last Printed,Int Last Printed,,undefined,Unknown,GHI,Unknown
Int Last Saved,LASTSAVE_DTM_NUMERICDATE,Int Last Saved,Int Last Saved,,undefined,Custom,ABC,Unknown
Inv 1st Rev Complete,TAG_INV_INITIAL_COMPLETE_NUMERIC,Inv 1st Rev Complete,Inv 1st Rev Complete,,Boolean,Custom,DEF,Unknown
Inv 2nd Rev Comments,TAG_INV_SECOND_COMMENTS_MATCH,Inv 2nd Rev Comments,Inv 2nd Rev Comments,,Memo,Custom,ABC,Unknown
Inv 2nd Rev Complete,TAG_INV_SECOND_COMPLETE_NUMERIC,Inv 2nd Review Complete,Inv 2nd Rev Complete,,Boolean,Custom,DEF,Unknown
Inv 2nd Reviewer,TAG_INV_SECOND_REVIEWER_MATCH_PARAMETRIC,Inv 2nd Reviewer,Inv 2nd Reviewer,,Dropdown List,Custom,GHI,Unknown
Inv 1st Reviewer,TAG_INV_REVIEWEDBY_MATCH_PARAMETRIC,Inv 1st Reviewer,Inv 1st Reviewer,,Dropdown List,Custom,ABC,Unknown
Investigation Determination,TAG_INV_DETERMINATION_MATCH_PARAMETRIC,Investigation Determination,Investigation Determination,,List (presented as radio button),Standard,DEF,Unknown
Issues,TAG_ISSUES_MATCH_PARAMETRIC,Issues,Issues,,MultiValueList,System,GHI,Unknown
Key Document,TAG_KEY_DOCUMENT_NUMERIC,Key Document,Key Document,,Boolean,Custom,ABC,Unknown
Primary Language,AUTN_LANGUAGE,Language,Primary Language,,Dropdown List,Custom,DEF,Unknown
