Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
CX_RELOCATIONOPERATION,CX_RELOCATIONOPERATION,,CX_RELOCATIONOPERATION,,,,,Unknown
CX_RELOCATIONREASON,CX_RELOCATIONREASON,,CX_RELOCATIONREASON,,,,,Unknown
CX_RELOCATIONTIMESTAMP,CX_RELOCATIONTIMESTAMP,,CX_RELOCATIONTIMESTAMP,,,,,Unknown
CX_RELOCATIONUSER,CX_RELOCATIONUSER,,CX_RELOCATIONUSER,,,,,Unknown
DATA_RATE,DATA_RATE,,DATA_RATE,,,,,Unknown
Date,#DREDATE,Date,EMS DREDATE,,undefined,Unknown,,Unknown
Date File Modified,FILEMODIFIEDTIME,,Date File Modified,,,,,Unknown
Date Received,RECEIVED_NUMERICDATE,Email Received Date,Date Received,,undefined,Custom,,Unknown
Date Sent,SENT,,Date Sent,,,,,Unknown
DATE_TIME_DIGITISED,DATE_TIME_DIGITISED,,DATE_TIME_DIGITISED,,,,,Unknown
DATE_TIME_ORIGINAL,DATE_TIME_ORIGINAL,,DATE_TIME_ORIGINAL,,,,,Unknown
DATE_unmapped,DATE,,DATE,,,,,Unknown
DEBUG1,DEBUG1,,DEBUG1,,,,,Unknown
DEBUG2,DEBUG2,,DEBUG2,,,,,Unknown
DEBUG3,DEBUG3,,DEBUG3,,,,,Unknown
DEDUPEMD5,DEDUPEMD5,,Dedupe MD5,,,,,Unknown
DEEDOTHERPARTY,DEEDOTHERPARTY,,DEEDOTHERPARTY,,,,,Unknown
DEEDOTHERPARTY1,DEEDOTHERPARTY1,,DEEDOTHERPARTY1,,,,,Unknown
DESCENDED_FROM_LOOSE_MAIL,DESCENDED_FROM_LOOSE_MAIL,,DESCENDED_FROM_LOOSE_MAIL,,,,,Unknown
Description,DESCRIPTION,,Description,,,,,Unknown
Disc Officer Comments,TAG_CRIM_DIS_OFFICER_COMMENTS_MATCH,Disc Officer Comments,,,Memo,TextArea,,Unknown
Disc Officer Rev Complete,TAG_CRIM_DIS_OFFICER_COMPLETE_NUMERIC,Disc Officer Rev Complete,,,Boolean,Checkbox,,Unknown
Disc Redaction Applied,TAG_REG_REDACTION_APPLIED_NUMERIC,Disc Redaction Applied,Disc Redaction Applied,,Boolean,Standard,,Unknown
Disc Redaction Approved,TAG_REG_REDACTION_APROVED_NUMERIC,Disc Redaction Approved?,Disc Redaction Approved,,Boolean,Standard,,Unknown
Disclosure Determination,TAG_REG_DIS_DETERMINATION_MATCH_PARAMETRIC,Disclosure Determination,Disclosure Determination,,List (presented as radio button),Custom,,Unknown
Disclosure Reason,TAG_REG_DIS_REASON_MATCH_PARAMETRIC,Disclosure Reason,Disclosure Reason,,Dropdown List,Custom,,Unknown
Display BCC,PR_DISPLAY_BCC,,Display BCC,,,,,Unknown
Display CC,PR_DISPLAY_CC,,Display CC,,,,,Unknown
Display To,PR_DISPLAY_TO,,Display To,,,,,Unknown
DMSDOCNUM,DMSDOCNUM,,DMSDOCNUM,,,,,Unknown
Doc Description Reviewed,TAG_CRIM_DOCDESCRIPTIONREVIEWED_NUMERIC,Doc Description Reviewed,,,Boolean,Checkbox,,Unknown
DOCID,DOCID,,DOCID,,,,,Unknown
DOCIDCONTENT,DOCIDCONTENT,,DOCIDCONTENT,,,,,Unknown
DocLibSource,AUN_SOURCE_NAME,Source Name (Initial),DocLibSource,,Dropdown List,Custom,,Unknown
DOCLOC,DOCLOC,,DOCLOC,,,,,Unknown
DOCLOC2,DOCLOC2,,DOCLOC2,,,,,Unknown
DOCREFERENCE,DOCREFERENCE,,DOCREFERENCE,,,,,Unknown
DOCSECURITY,DOCSECURITY,,DOCSECURITY,,,,,Unknown
Document Class,DOCUMENTCLASS,,Document Class,,,,,Unknown
Document Description,TAG_INV_REVISEDDOCDESCRIPTION_MATCH,Doc Description,Document Description,,Memo,Custom,,Unknown
Document Exhibit Reference,TAG_DOC_EXHIBITREFERENCE_MATCH,Document Exhibit Reference,,,Text,Text,,Unknown
Document ID,UUID,UUID,Document ID / EMS UUID,,undefined,Custom,,Unknown
Document Size,DOCUMENTSIZE,,Document Size,,,,,Unknown
Document Source,TAG_DOCUMENT_SOURCE_MATCH,Document Source,Document Source,,Text,Custom,,Unknown
APPNAME,APPNAME,,Document Type,,,Other,,Unknown
EMS Document Type Code,DOCUMENTTYPE,Document Type Code,Document Type Code,,undefined,Custom,,Unknown
DOCUMENT_NUMBER,DOCUMENT_NUMBER,,DOCUMENT_NUMBER,,,,,Unknown
DOCUMENTATTRIBUTES,DOCUMENTATTRIBUTES,,DOCUMENTATTRIBUTES,,,,,Unknown
DOCUMENTEMBEDDEDFONTRATIO,DOCUMENTEMBEDDEDFONTRATIO,,DOCUMENTEMBEDDEDFONTRATIO,,,,,Unknown
DOCUMENTPCTEMBEDDEDFONT,DOCUMENTPCTEMBEDDEDFONT,,DOCUMENTPCTEMBEDDEDFONT,,,,,Unknown
DOCUMENTPCTPROBABILITYMISMATCH,DOCUMENTPCTPROBABILITYMISMATCH,,DOCUMENTPCTPROBABILITYMISMATCH,,,,,Unknown
DRE_Reference,#DREREFERENCE,Native Reference,DRE_Reference,,Text,Custom,,Unknown
DRECHILDCOUNT,DRECHILDCOUNT,,,,,,,Unknown
DREDATE,DREDATE,,,,,,,Unknown
DREENDDOC,DREENDDOC,,DREENDDOC,,,Custom,,Unknown
DREFAMILYCOUNT_NUMERIC,DREFAMILYCOUNT_NUMERIC,,,,,,,Unknown
DREORIGINALNAME,DREORIGINALNAME,,,,,,,Unknown
DREPARENTREFERENCE_ID,DREPARENTREFERENCE_ID,,,,,,,Unknown
DREREFERENCE,DREREFERENCE,,,,,,,Unknown
DREROOTFAMILYREFERENCE_ID,DREROOTFAMILYREFERENCE_ID,,,,,,,Unknown
DREROOTPARENTTYPE,#DREROOTPARENTTYPE,,DREROOTPARENTTYPE,,,Custom,,Unknown
DREROOTPARENTTYPE,DREROOTPARENTTYPE,,DREROOTPARENTTYPE,,,Custom,,Unknown
DRETITLE,DRETITLE,,,,,,,Unknown
EDD Protected _ Deleted From Review,TAG_PROTECTED_ITEM_EDD_DELETE_NUMERIC,EDD - Protected - Deleted From Review,EDD Protected _ Deleted From Review,,Boolean,Custom,,Unknown
EDD Protected Deleted from Review Requested by,TAG_PROTECTED_ITEM_EDD_REQUESTEDBY_MATCH,EDD - Protected - Deleted From Review Requested By,EDD Protected Deleted from Review Requested by,,MultiValueList,Custom,,Unknown
EDRMSDOCALLOWED,EDRMSDOCALLOWED,,EDRMSDOCALLOWED,,,,,Unknown
EDRMSFSCCLASSIFICATION,EDRMSFSCCLASSIFICATION,,EDRMSFSCCLASSIFICATION,,,,,Unknown
All Email Addresses,AUN_ADDRESS_MATCH_PARAMETRIC,Email Addresses (All),Email Addresses (All),,Dropdown List,Custom,,Unknown
Recipient Email Domain,RECIPIENT_DOMAIN,Domain (Recipient),Domain (Recipient),,Dropdown List,Email,,Unknown
Sender Email Domain,FROMDOMAIN,Domain (Sender),Domain (Sender),,Dropdown List,Email,,Unknown
Email Timezone,EMAIL_TIMEZONE,,Email Timezone,,,,,Unknown
EMAIL_DIRECTION_PARAMETRIC,EMAIL_DIRECTION_PARAMETRIC,Email Direction,,,Dropdown List,Custom,,Unknown
EMAIL_OWNER_ADDRESS,EMAIL_OWNER_ADDRESS,,EMAIL_OWNER_ADDRESS,,,,,Unknown
EmailThreadId,EMAILTHREADID_MATCH,,EmailThreadId,,,,,Unknown
Embedded,EMBEDDED,,Embedded,,,,,Unknown
Embedded Mail Reference,#DREEMBMAILREFERENCE,,Embedded Mail Reference,,,Custom,,Unknown
Embedded Mail Reference,DREEMBMAILREFERENCE,,Embedded Mail Reference,,,Custom,,Unknown
EMS File Type,CONTENT-TYPE,File Type,Content Type,,Dropdown List,Custom,,Unknown
EMS Production Bates Number,INTROSPECT_BATES,EMS Bates,BatesSearch,,undefined,Custom,,Unknown
EMS Production Begin,PRODUCTION_BEGIN_MATCH,Production Begin,Production Begin,,undefined,Custom,,Unknown
EMS Production Date,PRODUCTION_DATE,Production Date,Production Date,,Dropdown List,Custom,,Unknown
EMS Production End,PRODUCTION_END_MATCH,Production End,Production End,,undefined,Custom,,Unknown
EMS Production Name,PRODUCTION_NAME_MATCH,Production Name,Production Name,,Dropdown List,Custom,,Unknown
EMS Record Type,TYPE,Record Type,File Type,,Dropdown List,Custom,,Unknown
EMS Attachment,ATTACHMENT,,EMS Attachment,,,System,,Unknown
EMS Batch Number,TAG_BATCH_NUMBER_MATCH,Batch Number,EMS Batch Number,,Text,Standard ,,Unknown
EMS Custodian,AUN_CUSTODIAN,Custodian (Initial),EMS Custodian,,Dropdown List,Standard,,Unknown
EMS Document Author,AUTHOR,Author,EMS Document Author,,Text,Custom,,Unknown
EMS Duplicate Document,TAG_DUPLICATE_NUMERIC,Duplicate,EMS Duplicate Document,,Boolean,Custom,,Unknown
EMS Duplicate Of,TAG_DUPLICATEOF_MATCH,Duplicate Of,EMS Duplicate Of,,Text,Custom,,Unknown
EMS Family MD5,FAMILYMD5,Family MD5,EMS Family MD5,,undefined,EDT,,Unknown
EMS Family Root,FAMILYROOT,Family Root,EMS Family Root,,undefined,Custom,,Unknown
EMS Family Sender,FAMILYSENDER,Family Sender,EMS Family Sender,,Text,Standard,,Unknown
EMS Family Sort,FAMILYSORT,Family Group,EMS Family Sort,,Text,Unknown,,Unknown
EMS Family Subject,FAMILYSUBJECT,Family Subject,EMS Family Subject,,Text,Unknown,,Unknown
EMS Group,AUN_GROUP,Group Name (Initial),EMS Group,,Dropdown List,Other,,Unknown
EMS Has Track Changes,HAS_REVISIONS,Has Track Changes,EMS Has Track Changes,,undefined,Custom,,Unknown
EMS Import Error Description,IMPORTERRORDESCRIPTION,Import Error Description,EMS Import Error Description,,Dropdown List,Unknown,,Unknown
EMS MD5,MD5,MD5 Hash,EMS MD5,,Text,Appointment,,Unknown
EMS OCR Processed,AUN_OCRED,OCR Processed,EMS OCR Processed,,undefined,Standard,,Unknown
EMS Produced Exhibit Reference number,SL_PRODUCED_REFERENCE_MATCH,Produced Exhibit Reference number,,,Text,Unknown,,Unknown
EMS Source Number,AUN_SOURCE_NUMERIC,Source ID,EMS Source Number,,Dropdown List,Other,,Unknown
EMS Structured Load Doc Type,SL_DOCUMENT_TYPE_MATCH,Document Type,Document Source Type,,Text,Custom,,Unknown
EMS Term List,AUN_TERMLIST_NUMERIC,Term List,EMS Term List,,undefined,MS Office & PDF,,Unknown
EMS Title,TITLE,,Title,,,,,Unknown
EMS Workflow ID Source,INTROSPECT_WORKFLOW_SOURCE,Workflow ID - Source,EMS Workflow ID Source,,Text,Custom,,Unknown
EMS Workflow ID Target,INTROSPECT_WORKFLOW_TARGET,Workflow ID - Target,EMS Workflow ID Target,,Text,Custom,,Unknown
EMS Workflow Project Target,INTROSPECT_MIGRATED_TO_MATTER,Workflow Project - Target,EMS Workflow Project Target,,Text,Custom,,Unknown
EMS Has Highlight,AUN_HIGHLIGHT_REDACTIONSET*,Has Highlight,EMS_ Has Highlight,,undefined,Unknown,,Unknown
EMS Has Hidden Columns_Excel,HAS_HIDDEN_COLUMNS,Has Hidden Columns - Excel,EMS_Has Hidden Columns - Excel,,undefined,Custom,,Unknown
EMS Has Hidden Rows_Excel,HAS_HIDDEN_ROWS,Has Hidden Rows - Excel,EMS_Has Hidden Rows - Excel,,undefined,Standard,,Unknown
EMS Has Hidden Text_Excel,HAS_HIDDEN_TEXT,Has Hidden Text - Excel,EMS_Has Hidden Text - Excel,,undefined,EDT,,Unknown
EMS Has Redaction,AUN_TIFFREDACT_REDACTIONSET*,Has Redaction,EMS_Has Redaction,,undefined,Custom,,Unknown
End Time,CALENDAR_ENDDATETIME_NUMERICDATE,Calendar/Meeting End Time,End Time,,undefined,Custom,,Unknown
Evidence Status,TAG_EVIDENCE_STATUS_MATCH,Evidence Status,Evidence Status,,List (presented as radio button),Custom,,Unknown
EXIF_IMAGE_HEIGHT,EXIF_IMAGE_HEIGHT,,EXIF_IMAGE_HEIGHT,,,,,Unknown
EXIF_IMAGE_WIDTH,EXIF_IMAGE_WIDTH,,EXIF_IMAGE_WIDTH,,,,,Unknown
EXIF_INTEROPERABILITY_OFFSET,EXIF_INTEROPERABILITY_OFFSET,,EXIF_INTEROPERABILITY_OFFSET,,,,,Unknown
EXIF_OFFSET,EXIF_OFFSET,,EXIF_OFFSET,,,,,Unknown
EXIF_VERSION,EXIF_VERSION,,EXIF_VERSION,,,,,Unknown
EXPIRES,EXPIRES,,EXPIRES,,,,,Unknown
EXPOSURE_BIAS_VALUE,EXPOSURE_BIAS_VALUE,,EXPOSURE_BIAS_VALUE,,,,,Unknown
EXPOSURE_PROGRAM,EXPOSURE_PROGRAM,,EXPOSURE_PROGRAM,,,,,Unknown
F_NUMBER,F_NUMBER,,F_NUMBER,,,,,Unknown
Family Count,#DREFAMILYCOUNT_NUMERIC,Family Count,Family Count,,Text,Custom,,Unknown
Family Date,FAMILY_DATE_NUMERICDATE,Family Date,FamilyDate,,undefined,Standard,,Unknown
FAMILYDATE,FAMILYDATE,,FAMILYDATE,,,,,Unknown
FAMILYTHREADID_MATCH,FAMILYTHREADID_MATCH,,FAMILYTHREADID_MATCH,,,,,Unknown
File Extension,FILETYPE_PARAMETRIC,File Extension,File Extension,,Dropdown List,Unknown,,Unknown
File Name,#DREFILENAME,,File Name,,,Custom,,Unknown
File Name,DREFILENAME,,File Name,,,Custom,,Unknown
File Tab Number,TAG_FILE_TAB_MATCH,File Tab Number,File Tab Number,,Text,Email,,Unknown
FILE_SOURCE,FILE_SOURCE,,FILE_SOURCE,,,,,Unknown
FileExtensionAsFound,FileExtensionAsFound,,FileExtensionAsFound,,,,,Unknown
FILEIMPORTED_NUMERICDATE,FILEIMPORTED_NUMERICDATE,,FILEIMPORTED_NUMERICDATE,,,,,Unknown
FLASH,FLASH,,FLASH,,,,,Unknown
FLASH_PIX_VERSION,FLASH_PIX_VERSION,,FLASH_PIX_VERSION,,,,,Unknown
FOCAL_LENGTH,FOCAL_LENGTH,,FOCAL_LENGTH,,,,,Unknown
FOCAL_PLANE_RESOLUTION_UNIT,FOCAL_PLANE_RESOLUTION_UNIT,,FOCAL_PLANE_RESOLUTION_UNIT,,,,,Unknown
FOCAL_PLANE_X_RESOLUTION,FOCAL_PLANE_X_RESOLUTION,,FOCAL_PLANE_X_RESOLUTION,,,,,Unknown
FOCAL_PLANE_Y_RESOLUTION,FOCAL_PLANE_Y_RESOLUTION,,FOCAL_PLANE_Y_RESOLUTION,,,,,Unknown
FORMAT_TYPE,FORMAT_TYPE,,FORMAT_TYPE,,,,,Unknown
FORMAT-DETECTION,FORMAT-DETECTION,,FORMAT-DETECTION,,,,,Unknown
FRAME_COUNT,FRAME_COUNT,,FRAME_COUNT,,,,,Unknown
Further Review Required,TAG_FURTHER_REVIEW_REQUIRED_NUMERIC,Further Review Required,Further Review Required,,Boolean,Custom,,Unknown
Generator,GENERATOR,,Generator,,,,,Unknown
GPS_ALTITUDE,GPS_ALTITUDE,,GPS_ALTITUDE,,,,,Unknown
GPS_ALTITUDE_REF,GPS_ALTITUDE_REF,,GPS_ALTITUDE_REF,,,,,Unknown
GPS_DATE_STAMP,GPS_DATE_STAMP,,GPS_DATE_STAMP,,,,,Unknown
GPS_DOP,GPS_DOP,,GPS_DOP,,,,,Unknown
GPS_IMG_DIRECTION,GPS_IMG_DIRECTION,,GPS_IMG_DIRECTION,,,,,Unknown
GPS_IMG_DIRECTION_REF,GPS_IMG_DIRECTION_REF,,GPS_IMG_DIRECTION_REF,,,,,Unknown
GPS_LATITUDE,GPS_LATITUDE,,GPS_LATITUDE,,,,,Unknown
GPS_LATITUDE_REF,GPS_LATITUDE_REF,,GPS_LATITUDE_REF,,,,,Unknown
GPS_LONGITUDE,GPS_LONGITUDE,,GPS_LONGITUDE,,,,,Unknown
GPS_LONGITUDE_REF,GPS_LONGITUDE_REF,,GPS_LONGITUDE_REF,,,,,Unknown
GPS_MEASURE_MODE,GPS_MEASURE_MODE,,GPS_MEASURE_MODE,,,,,Unknown
GPS_PROCESSING_METHOD,GPS_PROCESSING_METHOD,,GPS_PROCESSING_METHOD,,,,,Unknown
GPS_SPEED,GPS_SPEED,,GPS_SPEED,,,,,Unknown
GPS_SPEED_REF,GPS_SPEED_REF,,GPS_SPEED_REF,,,,,Unknown
GPS_TIMESTAMP,GPS_TIMESTAMP,,GPS_TIMESTAMP,,,,,Unknown
GPS_VERSION_ID,GPS_VERSION_ID,,GPS_VERSION_ID,,,,,Unknown
Has Attachment,HASATTACHMENT,,Has Attachment,,,,,Unknown
Has Attachments,HASATTACHMENTS,Attachments,Has Attachments,,undefined,Unknown,,Unknown
Has Searchable Text,HAS_TEXT,Has Searchable Text,Has Searchable Text,,Dropdown List,Custom,,Unknown
Has TIFF Path,AUN_TIFFASSOCIATION,Has TIFF Path,Has TIFF Path,,Text,Custom,,Unknown
HEADINGPAIRS,HEADINGPAIRS,,HEADINGPAIRS,,,,,Unknown
HEIGHT,HEIGHT,,HEIGHT,,,,,Unknown
HEIGHT__PIXELS_,HEIGHT__PIXELS_,,HEIGHT__PIXELS_,,,,,Unknown
HIDDENCOUNT,HIDDENCOUNT,,HIDDENCOUNT,,,,,Unknown
HLINKS,HLINKS,,HLINKS,,,,,Unknown
HORIZONTAL_RESOLUTION,HORIZONTAL_RESOLUTION,,HORIZONTAL_RESOLUTION,,,,,Unknown
Host Document ID,#DREPARENTREFERENCE_ID,Parent UUID,Host Document ID,,Text,MS Office & PDF,,Unknown
HYPERLINKBASE,HYPERLINKBASE,,HYPERLINKBASE,,,,,Unknown
HYPERLINKS,HYPERLINKS,,HYPERLINKS,,,,,Unknown
HYPERLINKSCHANGED,HYPERLINKSCHANGED,,HYPERLINKSCHANGED,,,,,Unknown
Ignored,AUN_IGNORED,,Ignored,,,Custom,,Unknown
IMAGE_SIZE,IMAGE_SIZE,,IMAGE_SIZE,,,,,Unknown
IMCLASS,IMCLASS,,IMCLASS,,,,,Unknown
IMDOCUMENTNUMBER,IMDOCUMENTNUMBER,,IMDOCUMENTNUMBER,,,,,Unknown
Import Empty,IMPORTEMPTY,,Import Empty,,,,,Unknown
Import Error Code,IMPORTERRORCODE,,Import Error Code,,,,,Unknown
Importance,PR_IMPORTANCE,,Importance,,,,,Unknown
IMPORTINVALIDUTF8BYTES,IMPORTINVALIDUTF8BYTES,,IMPORTINVALIDUTF8BYTES,,,,,Unknown
ImportMagicExtension,IMPORTMAGICEXTENSION,File Extension List,ImportMagicExtension,,undefined,Custom,,Unknown
IMPORTORIGINALENCODING,IMPORTORIGINALENCODING,,IMPORTORIGINALENCODING,,,,,Unknown
IMPORTVERSION,IMPORTVERSION,,IMPORTVERSION,,,,,Unknown
IMTYPE,IMTYPE,,IMTYPE,,,,,Unknown
IMVERSIONNUMBER,IMVERSIONNUMBER,,IMVERSIONNUMBER,,,,,Unknown
Information Flag,INFOFLAG,,Information Flag,,,,,Unknown
Int Date Created,CREATE_DTM_NUMERICDATE,Int Date Created,Int Date Created,,undefined,Custom,,Unknown
Int Last Printed,LAST_PRINTED_NUMERICDATE,Int Last Printed,Int Last Printed,,undefined,Unknown,,Unknown
Int Last Saved,LASTSAVE_DTM_NUMERICDATE,Int Last Saved,Int Last Saved,,undefined,Custom,,Unknown
Internet Message ID,PR_INTERNET_MESSAGE_ID,,Internet Message ID,,,,,Unknown
InternetHeaders,PR_TRANSPORT_MESSAGE_HEADERS_W,,InternetHeaders,,,,,Unknown
INTERNETMESSAGEID,INTERNETMESSAGEID,,INTERNETMESSAGEID,,,,,Unknown
InternetMessageID,MAPIENTRYID,,InternetMessageID,,,,,Unknown
INTEROPERABILITY_INDEX,INTEROPERABILITY_INDEX,,INTEROPERABILITY_INDEX,,,,,Unknown
INTEROPERABILITY_VERSION,INTEROPERABILITY_VERSION,,INTEROPERABILITY_VERSION,,,,,Unknown
Introspect Deleted Folder ID,INTROSPECT_DELETED,Deleted Items Folder ID,Introspect Deleted Folder ID,,Text,Custom,,Unknown
INTROSPECT_HISTORY_EVENT,INTROSPECT_HISTORY_EVENT,,INTROSPECT_HISTORY_EVENT,,,,,Unknown
INTROSPECT_RELEASED,INTROSPECT_RELEASED,,INTROSPECT_RELEASED,,,,,Unknown
INTROSPECT_RELEASED_DATE,INTROSPECT_RELEASED_DATE,,INTROSPECT_RELEASED_DATE,,,,,Unknown
Inv 1st Rev Complete,TAG_INV_INITIAL_COMPLETE_NUMERIC,Inv 1st Rev Complete,Inv 1st Rev Complete,,Boolean,Custom,,Unknown
Inv 1st Reviewer,TAG_INV_REVIEWEDBY_MATCH_PARAMETRIC,Inv 1st Reviewer,Inv 1st Reviewer,,Dropdown List,Custom,,Unknown
Inv 2nd Rev Comments,TAG_INV_SECOND_COMMENTS_MATCH,Inv 2nd Rev Comments,Inv 2nd Rev Comments,,Memo,Custom,,Unknown
Inv 2nd Rev Complete,TAG_INV_SECOND_COMPLETE_NUMERIC,Inv 2nd Review Complete,Inv 2nd Rev Complete,,Boolean,Custom,,Unknown
Inv 2nd Reviewer,TAG_INV_SECOND_REVIEWER_MATCH_PARAMETRIC,Inv 2nd Reviewer,Inv 2nd Reviewer,,Dropdown List,Custom,,Unknown
Investigation 1st Reviewer,TAG_INV_INITIAL_REVIEWER_MATCH_PARAMETRIC,Investigation 1st Reviewer,,,Dropdown List,Combobox,,Unknown
Investigation Comments,TAG_INV_COMMENTS_MATCH,Comments,Investigation Comments,,Memo,Custom,,Unknown
Investigation Determination,TAG_INV_DETERMINATION_MATCH_PARAMETRIC,Investigation Determination,Investigation Determination,,List (presented as radio button),Standard,,Unknown
Is Redacted,TAG_REDACTED_NUMERIC,Is Redacted,,,Boolean,Checkbox,,Unknown
IS_ARCHIVE,IS_ARCHIVE,,IS_ARCHIVE,,,,,Unknown
ISFILEFILTERABLE,ISFILEFILTERABLE,,ISFILEFILTERABLE,,,,,Unknown
ISO_SPEED_RATINGS,ISO_SPEED_RATINGS,,ISO_SPEED_RATINGS,,,,,Unknown
Issues,TAG_ISSUES_MATCH_PARAMETRIC,Issues,Issues,,MultiValueList,System,,Unknown
Issues,TAG_ISSUES_MATCH,Issues,,,MultiValueList,MultiSelect,,Unknown
JIRA-SYSTEM-IMAGE-TYPE,JIRA-SYSTEM-IMAGE-TYPE,,JIRA-SYSTEM-IMAGE-TYPE,,,,,Unknown
JPEG_IF_BYTE_COUNT,JPEG_IF_BYTE_COUNT,,JPEG_IF_BYTE_COUNT,,,,,Unknown
JPEG_IF_OFFSET,JPEG_IF_OFFSET,,JPEG_IF_OFFSET,,,,,Unknown
Key Document,TAG_KEY_DOCUMENT_NUMERIC,Key Document,Key Document,,Boolean,Custom,,Unknown
KEYVIEWVERSION,KEYVIEWVERSION,,KEYVIEWVERSION,,,,,Unknown
Keywords,KEYWORDS,,Keywords,,,,,Unknown
LANGUAGE,LANGUAGE,,LANGUAGE,,,,,Unknown
Last Author,LASTAUTHOR,,Last Author,,,,,Unknown
Last Printed,LASTPRINTED,,Last Printed,,,,,Unknown
LASTSAVED,LASTSAVED,,LASTSAVED,,,,,Unknown
Legal Rev Comments,TAG_REG_LEGAL_COMMENTS_MATCH,Legal Rev Comments,Legal Rev Comments,,Memo,Custom,,Unknown
Legal Rev Complete,TAG_REG_LEGAL_COMPLETE_NUMERIC,Legal Rev Complete,Legal Rev Complete,,Boolean,Custom,,Unknown
Legal Rev Date,TAG_REG_LEGALREV_NUMERICDATE,Legal Rev Date,Legal Rev Date,,Date,Custom,,Unknown
Legal Rev Decision,TAG_REG_LEGAL_DECISION_MATCH,Legal Rev Decision,Legal Rev Decision,,Dropdown List,Custom,,Unknown
Legal Reviewer,TAG_REG_LEGALREVIEWER_MATCH_PARAMETRIC,Legal Reviewer,Legal Reviewer,,Dropdown List,Custom,,Unknown
LEXMACHINAISRUNNING,LEXMACHINAISRUNNING,,LEXMACHINAISRUNNING,,,,,Unknown
Line Count,LINECOUNT,,Line Count,,,,,Unknown
Links Dirty,LINKSDIRTY,,Links Dirty,,,,,Unknown
LINKSUPTODATE,LINKSUPTODATE,,LINKSUPTODATE,,,,,Unknown
LIVELINK_ID_MATCH,LIVELINK_ID_MATCH,Livelink ID,LIVELINK_ID_MATCH,,Text,Custom,,Unknown
LIVELINK_LOCATION_MATCH,LIVELINK_LOCATION_MATCH,Livelink Location,LIVELINK_LOCATION_MATCH,,Text,Email,,Unknown
LOCATION_MATCH,LOCATION_MATCH,,LOCATION_MATCH,,,,,Unknown
LOOSE_MAIL_TYPE,LOOSE_MAIL_TYPE,,LOOSE_MAIL_TYPE,,,,,Unknown
LPP or Protected Item Comments,TAG_PROTECTED_ITEM_COMMENTS_MATCH,LPP or Protected Item Comments,LPP or Protected Item Comments,,Memo,Custom,,Unknown
LPP or Protected Item Determination,TAG_PROTECTED_ITEM_DETERMINATION_MATCH,LPP or Protected Item Determination,LPP or Protected Item Determination,,List (presented as radio button),Custom,,Unknown
LPP or Protected Item reviewed,TAG_PROTECTED_ITEM_REVIEWED_NUMERIC,LPP or Protected Item - reviewed,LPP or Protected Item reviewed,,Boolean,Email,,Unknown
Mail,MAIL,,Mail,,,,,Unknown
MAIL_MSG_ID1,MAIL_MSG_ID1,,MAIL_MSG_ID1,,,,,Unknown
MAIL_MSG_ID2,MAIL_MSG_ID2,,MAIL_MSG_ID2,,,,,Unknown
MAKE,MAKE,,MAKE,,,,,Unknown
Manager,MANAGER,,Manager,,,,,Unknown
MAPI Path,MAPIPATH,,MAPI Path,,,,,Unknown
MATTERNO,MATTERNO,,MATTERNO,,,,,Unknown
MAX_APERTURE_VALUE,MAX_APERTURE_VALUE,,MAX_APERTURE_VALUE,,,,,Unknown
MESSAGEID,MESSAGEID,,MESSAGEID,,,,,Unknown
METERING_MODE,METERING_MODE,,METERING_MODE,,,,,Unknown
MICROSOFT_THEME,MICROSOFT_THEME,,MICROSOFT_THEME,,,,,Unknown
MICROSYSTEMSCOMPARISON,MICROSYSTEMSCOMPARISON,,MICROSYSTEMSCOMPARISON,,,,,Unknown
Millnet Document Description,TAG_DOCUMENT_DESCRIPTION_MATCH,Millnet Document Description,Millnet Document Description,,Text,Custom,,Unknown
MMCLIPS,MMCLIPS,,MMCLIPS,,,,,Unknown
MODEL,MODEL,,MODEL,,,,,Unknown
NativeRelativePath,NativeRelativePath,,NativeRelativePath,,,,,Unknown
Non LPP or Protected Item Comments,TAG_NON_LPP_OR_PROTECTED_ITEM_COMMENTS_MATCH,Non LPP or Protected Item Comments,Non LPP or Protected Item Comments,,Memo,Custom,,Unknown
NOTECOUNT,NOTECOUNT,,NOTECOUNT,,,,,Unknown
NUIX GUID,NUIX_GUID_MATCH,Nuix GUID,NUIX GUID,,Text,Custom,,Unknown
NUIX Parent GUID,NUIX_PARENT_GUID_MATCH,Nuix Parent GUID,NUIX Parent GUID,,Text,Custom,,Unknown
NUIX Tags,NUIX_TAGS_MATCH,Nuix Tags,NUIX Tags,,Text,Custom,,Unknown
NUIX_DUPLICATE_CUSTODIAN_MATCH,NUIX_DUPLICATE_CUSTODIAN_MATCH,Nuix Duplicate Custodian,,,Text,Custom,,Unknown
NUIX_DUPLICATE_DATES_MATCH,NUIX_DUPLICATE_DATES_MATCH,Nuix Duplicate Dates,,,Text,MS Office & PDF,,Unknown
NUIX_DUPLICATE_GUID_MATCH,NUIX_DUPLICATE_GUID_MATCH,Nuix Duplicate GUID,,,Text,Standard,,Unknown
NUIX_DUPLICATE_PATHS_MATCH,NUIX_DUPLICATE_PATHS_MATCH,Nuix Duplicate File Path,,,Text,MS Office & PDF,,Unknown
